Date,Type,Price,Ticker
2008-02-01,Adj Close,101.7726058959961,SPY
2008-02-04,Adj Close,100.48933410644531,SPY
2008-02-05,Adj Close,97.79881286621094,SPY
2008-02-06,Adj Close,97.0113754272461,SPY
2008-02-07,Adj Close,97.6529769897461,SPY
2008-02-08,Adj Close,97.02595520019531,SPY
2008-02-11,Adj Close,97.52173614501953,SPY
2008-02-12,Adj Close,98.42587280273438,SPY
2008-02-13,Adj Close,99.43209075927734,SPY
2008-02-14,Adj Close,98.55713653564453,SPY
2008-02-15,Adj Close,98.53521728515625,SPY
2008-02-19,Adj Close,98.81234741210938,SPY
2008-02-20,Adj Close,99.10399627685547,SPY
2008-02-21,Adj Close,98.28007507324219,SPY
2008-02-22,Adj Close,98.88521575927734,SPY
2008-02-25,Adj Close,100.13207244873047,SPY
2008-02-26,Adj Close,100.88307189941406,SPY
2008-02-27,Adj Close,100.78096008300781,SPY
2008-02-28,Adj Close,99.7966537475586,SPY
2008-02-29,Adj Close,97.57279968261719,SPY
2008-03-03,Adj Close,97.33946990966797,SPY
2008-03-04,Adj Close,96.9676284790039,SPY
2008-03-05,Adj Close,97.580078125,SPY
2008-03-06,Adj Close,95.56036376953125,SPY
2008-03-07,Adj Close,94.57604217529297,SPY
2008-03-10,Adj Close,93.3292465209961,SPY
2008-03-11,Adj Close,96.6832504272461,SPY
2008-03-12,Adj Close,95.77912902832031,SPY
2008-03-13,Adj Close,95.99055480957031,SPY
2008-03-14,Adj Close,94.50313568115234,SPY
2008-03-17,Adj Close,93.54798126220703,SPY
2008-03-18,Adj Close,97.43427276611328,SPY
2008-03-19,Adj Close,95.02081298828125,SPY
2008-03-20,Adj Close,96.78086853027344,SPY
2008-03-24,Adj Close,98.7153091430664,SPY
